notebook,title,metric,value
01,Residuals Are Not Noise,baseline_rmse,0.7172581911543362
01,Residuals Are Not Noise,baseline_r2,0.9034521753333453
01,Residuals Are Not Noise,fitted_slope,0.7585406979952112
01,Residuals Are Not Noise,fitted_intercept,1.7204488076273812
01,Residuals Are Not Noise,residual_hidden_structure_correlation,0.9238373194298457
01,Residuals Are Not Noise,residual_structure_score,0.831504496525983
01,Residuals Are Not Noise,dominant_frequency_1,0.3992
01,Residuals Are Not Noise,dominant_frequency_2,0.998
01,Residuals Are Not Noise,dominant_frequency_3,0.8982
02,Topology Drift Demo,train_accuracy,0.608
02,Topology Drift Demo,test_accuracy,0.5044
02,Topology Drift Demo,train_drift_rate,0.392
02,Topology Drift Demo,test_drift_rate,0.4956
02,Topology Drift Demo,generalization_gap,0.10360000000000003
03,Phase-Lock Correction Loop,baseline_accuracy,0.497
03,Phase-Lock Correction Loop,baseline_drift_rate,0.503
03,Phase-Lock Correction Loop,corrected_accuracy,1.0
03,Phase-Lock Correction Loop,corrected_drift_rate,0.0
03,Phase-Lock Correction Loop,drift_reduction,0.503
03,Phase-Lock Correction Loop,relative_drift_reduction,1.0
03,Phase-Lock Correction Loop,baseline_coherence_score,0.497
03,Phase-Lock Correction Loop,corrected_coherence_score,1.0
04,Learned Residual Correction,baseline_train_rmse,0.5910266144854163
04,Learned Residual Correction,corrected_train_rmse,0.1964150863770009
04,Learned Residual Correction,baseline_test_rmse,0.5666377202162963
04,Learned Residual Correction,corrected_test_rmse,0.17958434336848092
04,Learned Residual Correction,test_rmse_reduction,0.3870533768478154
04,Learned Residual Correction,relative_test_rmse_reduction,0.6830702634834649
04,Learned Residual Correction,baseline_test_r2,0.9360755422951338
04,Learned Residual Correction,corrected_test_r2,0.9935791425000222
04,Learned Residual Correction,residual_corr_train,0.9431690566805778
04,Learned Residual Correction,residual_corr_test,0.9489731616982778
04,Learned Residual Correction,baseline_test_residual_structure_score,0.7979061600027401
04,Learned Residual Correction,corrected_test_residual_structure_score,0.1797388743145541
04,Learned Residual Correction,structure_score_reduction,0.6181672856881859
04,Learned Residual Correction,unstable_polynomial_test_rmse,0.31121503662177097
05,Sequence Topology Drift,train_accuracy,0.8947692307692308
05,Sequence Topology Drift,test_accuracy,0.9045714285714286
05,Sequence Topology Drift,train_drift_rate,0.10523076923076922
05,Sequence Topology Drift,test_drift_rate,0.09542857142857143
05,Sequence Topology Drift,generalization_gap,-0.00980219780219782
06,Sequence Phase-Lock Correction,baseline_train_accuracy,0.9095384615384615
06,Sequence Phase-Lock Correction,baseline_test_accuracy,0.908
06,Sequence Phase-Lock Correction,baseline_test_drift_rate,0.092
06,Sequence Phase-Lock Correction,corrected_test_accuracy,1.0
06,Sequence Phase-Lock Correction,corrected_test_drift_rate,0.0
06,Sequence Phase-Lock Correction,drift_reduction,0.092
06,Sequence Phase-Lock Correction,relative_drift_reduction,1.0
06,Sequence Phase-Lock Correction,baseline_coherence_score,0.908
06,Sequence Phase-Lock Correction,corrected_coherence_score,1.0
07,Partial Phase-Lock,baseline_accuracy,0.5054
07,Partial Phase-Lock,baseline_drift_rate,0.4946
07,Partial Phase-Lock,baseline_coherence_score,0.5054000000000001
07,Partial Phase-Lock,mid_strength,0.5
07,Partial Phase-Lock,mid_strength_accuracy,0.7526
07,Partial Phase-Lock,mid_strength_drift_rate,0.2474
07,Partial Phase-Lock,mid_strength_coherence_score,0.7525999999999999
07,Partial Phase-Lock,full_strength_accuracy,1.0
07,Partial Phase-Lock,full_strength_drift_rate,0.0
07,Partial Phase-Lock,full_strength_coherence_score,1.0
07,Partial Phase-Lock,full_relative_drift_reduction,1.0
08,Long-Horizon State Tracking,first_horizon,4.0
08,Long-Horizon State Tracking,last_horizon,128.0
08,Long-Horizon State Tracking,baseline_accuracy_first,1.0
08,Long-Horizon State Tracking,baseline_accuracy_last,0.4613333333333333
08,Long-Horizon State Tracking,baseline_accuracy_change,-0.5386666666666666
08,Long-Horizon State Tracking,baseline_drift_first,0.0
08,Long-Horizon State Tracking,baseline_drift_last,0.5386666666666666
08,Long-Horizon State Tracking,baseline_drift_change,0.5386666666666666
08,Long-Horizon State Tracking,partial_drift_last,0.2693333333333333
08,Long-Horizon State Tracking,corrected_drift_last,0.0
08,Long-Horizon State Tracking,corrected_coherence_last,1.0
08,Long-Horizon State Tracking,full_relative_drift_reduction_last,1.0
