hamming_weight,count,drift_rate,mean_residual
1,2,0.0,0.0
2,11,0.8181818181818182,-0.8181818181818182
3,46,0.17391304347826086,0.17391304347826086
4,143,0.7132867132867133,-0.7132867132867133
5,342,0.4093567251461988,0.4093567251461988
6,622,0.5610932475884244,-0.5610932475884244
7,872,0.48394495412844035,0.48394495412844035
8,945,0.4507936507936508,-0.4507936507936508
9,837,0.5770609318996416,0.5770609318996416
10,633,0.34281200631911535,-0.34281200631911535
11,350,0.7342857142857143,0.7342857142857143
12,157,0.2484076433121019,-0.2484076433121019
13,32,0.78125,0.78125
14,7,0.0,0.0
15,1,1.0,1.0
