correction_strength,accuracy,drift_rate,residual_norm,coherence_score
0.0,0.497,0.503,50.149775672479336,0.497
0.1,0.5474,0.4526,47.57099956906519,0.5474
0.2,0.5976,0.4024,44.85532298401161,0.5976
0.30000000000000004,0.648,0.352,41.95235392680606,0.648
0.4,0.6982,0.3018,38.84584919911006,0.6981999999999999
0.5,0.7486,0.2514,35.45419580247167,0.7485999999999999
0.6000000000000001,0.7988,0.2012,31.71750305430741,0.7988
0.7000000000000001,0.8492,0.1508,27.459060435491963,0.8492
0.8,0.8994,0.1006,22.427661492005804,0.8994
0.9,0.9498,0.0502,15.84297951775486,0.9498
1.0,1.0,0.0,0.0,1.0
