min_prefix_balance,count,drift_rate,valid_rate,mean_residual
-12,2,0.5,0.0,-0.5
-11,2,0.0,0.0,0.0
-10,6,0.3333333333333333,0.0,-0.3333333333333333
-9,3,0.0,0.0,0.0
-8,9,0.2222222222222222,0.0,-0.2222222222222222
-7,11,0.0,0.0,0.0
-6,26,0.15384615384615385,0.0,-0.15384615384615385
-5,25,0.12,0.0,-0.12
-4,62,0.22580645161290322,0.0,-0.22580645161290322
-3,61,0.13114754098360656,0.0,-0.13114754098360656
-2,416,0.10096153846153846,0.0,-0.10096153846153846
-1,167,0.31736526946107785,0.0,-0.31736526946107785
0,960,0.03958333333333333,0.9114583333333334,-0.03958333333333333
