sequence,valid,predicted_valid,residual,drift,final_balance,min_prefix_balance,source
(((((())(())())),0,1,-1,1,2,0,invalid_generated
()())())()()()((()(),0,1,-1,1,0,-2,invalid_generated
())())(())(),0,1,-1,1,-2,-2,invalid_generated
())(()())((()(()())),0,1,-1,1,0,-1,invalid_generated
(()))(())((()(((((())((),0,1,-1,1,6,-1,invalid_generated
(())()(()))())())),0,1,-1,1,-4,-4,invalid_generated
(()()))(())((()),0,1,-1,1,0,-1,invalid_generated
(())())((())()((()))(),0,1,-1,1,0,-1,invalid_generated
()()()()(),1,1,0,0,0,0,valid_generated
()(((()()()))),1,1,0,0,0,0,valid_generated
()(()()()())((((())))),1,1,0,0,0,0,valid_generated
))(((()(()(),0,0,0,0,2,-2,invalid_generated
))(())((())()),0,0,0,0,-2,-2,invalid_generated
)())(())((()(()))))),0,0,0,0,-4,-4,invalid_generated
()()()(),1,1,0,0,0,0,valid_generated
()()()()(),1,1,0,0,0,0,valid_generated
