min_prefix_balance,count,baseline_drift_rate,corrected_drift_rate,baseline_mean_residual,corrected_mean_residual
-13,1,0.0,0.0,0.0,0.0
-10,6,0.16666666666666666,0.0,-0.16666666666666666,0.0
-9,7,0.0,0.0,0.0,0.0
-8,11,0.09090909090909091,0.0,-0.09090909090909091,0.0
-7,10,0.0,0.0,0.0,0.0
-6,29,0.27586206896551724,0.0,-0.27586206896551724,0.0
-5,21,0.047619047619047616,0.0,-0.047619047619047616,0.0
-4,51,0.2549019607843137,0.0,-0.2549019607843137,0.0
-3,69,0.10144927536231885,0.0,-0.10144927536231885,0.0
-2,411,0.12652068126520682,0.0,-0.12652068126520682,0.0
-1,180,0.25555555555555554,0.0,-0.25555555555555554,0.0
0,954,0.033542976939203356,0.0,-0.033542976939203356,0.0
