phase_lock_strength,hamming_weight,count,drift_rate
0.0,1,1,1.0
0.0,2,10,0.1
0.0,3,34,0.5882352941176471
0.0,4,143,0.46853146853146854
0.0,5,308,0.5032467532467533
0.0,6,639,0.514866979655712
0.0,7,860,0.4476744186046512
0.0,8,987,0.5947315096251267
0.0,9,858,0.32867132867132864
0.0,10,622,0.7138263665594855
0.0,11,339,0.20353982300884957
0.0,12,147,0.8163265306122449
0.0,13,42,0.14285714285714285
0.0,14,6,1.0
0.0,15,4,0.25
0.5,1,1,0.0
0.5,2,10,0.0
0.5,3,34,0.35294117647058826
0.5,4,143,0.25874125874125875
0.5,5,308,0.24025974025974026
0.5,6,639,0.2566510172143975
0.5,7,860,0.21046511627906977
0.5,8,987,0.2887537993920973
0.5,9,858,0.17715617715617715
0.5,10,622,0.36977491961414793
0.5,11,339,0.12684365781710916
0.5,12,147,0.3741496598639456
0.5,13,42,0.0
0.5,14,6,0.6666666666666666
0.5,15,4,0.0
1.0,1,1,0.0
1.0,2,10,0.0
1.0,3,34,0.0
1.0,4,143,0.0
1.0,5,308,0.0
1.0,6,639,0.0
1.0,7,860,0.0
1.0,8,987,0.0
1.0,9,858,0.0
1.0,10,622,0.0
1.0,11,339,0.0
1.0,12,147,0.0
1.0,13,42,0.0
1.0,14,6,0.0
1.0,15,4,0.0
