horizon,sequence_prefix,sequence_length,true_state,baseline_pred,corrected_pred,residual
8,00111001,8,0,1,0,-1
8,01110111,8,0,1,0,-1
8,10011010,8,0,1,0,-1
8,00111001,8,0,1,0,-1
8,00111001,8,0,1,0,-1
16,1011000110000101,16,1,0,1,1
16,0000010111111001,16,0,1,0,-1
16,1010000110101011,16,0,1,0,-1
16,0010011110000001,16,0,1,0,-1
16,1110011101111011,16,0,1,0,-1
32,01101000100111100111100001110001,32,0,1,0,-1
32,00000101010001010010101110100101,32,1,0,1,1
32,11110100101100010110110111110101,32,0,1,0,-1
32,01011000000000011101011100111001,32,0,1,0,-1
32,10011011101101101111101010111011,32,0,1,0,-1
64,11001101011111101011010100011101,64,0,1,0,-1
64,00100000110001111110011101111110,64,1,0,1,1
64,00101111100100100100100110110001,64,1,0,1,1
64,01100111110111001111000110110110,64,0,1,0,-1
64,10100000100010011100110000011000,64,0,1,0,-1
128,01011011000110011010010111001011,128,0,1,0,-1
128,10101111101000010101101100101101,128,0,1,0,-1
128,10011111000010000100111010101100,128,0,1,0,-1
128,01001010011110100011100101100010,128,1,0,1,1
128,00100000110101010100010001101111,128,1,0,1,1
